date,forecast_meantemp
2017-04-25,31.042198
2017-04-26,31.203625
2017-04-27,31.412054
2017-04-28,31.628996
2017-04-29,31.768133
2017-04-30,31.54799
2017-05-01,31.43959
2017-05-02,31.560995
2017-05-03,31.524
2017-05-04,31.21598
2017-05-05,30.702824
2017-05-06,30.640722
2017-05-07,30.693554
2017-05-08,30.378155
2017-05-09,30.641912
2017-05-10,30.415514
2017-05-11,30.802011
2017-05-12,31.202353
2017-05-13,31.34684
2017-05-14,31.639761
2017-05-15,31.549784
2017-05-16,32.57745
2017-05-17,32.651375
2017-05-18,32.59432
2017-05-19,31.93337
2017-05-20,32.345963
2017-05-21,32.1363
2017-05-22,32.407948
2017-05-23,32.605442
2017-05-24,32.218857
