id,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10,Pregunta11,Pregunta12,Pregunta13,Pregunta14,Pregunta15,Pregunta16,Pregunta17,Pregunta18,Pregunta19,Pregunta20,Pregunta21,TOTAL
1,0,2,0,3,3,0,1,2,3,2,3,3,0,3,0,0,1,2,0,0,2,30
2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,17
4,2,1,1,2,1,0,0,1,1,2,2,1,2,0,2,1,3,2,1,0,0,25
5,0,3,0,0,2,2,1,1,2,3,3,1,2,1,1,1,0,2,1,3,2,31
6,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,3,0,3,2,3,0,1,2,3,3,0,1,1,0,2,1,0,1,1,3,0,30
8,1,1,2,1,2,2,1,3,2,1,3,0,1,1,1,1,1,1,1,3,2,31
9,1,2,1,1,1,3,2,0,0,3,1,3,0,0,1,0,2,0,1,1,0,23
10,2,1,3,0,3,1,3,2,1,1,0,0,2,3,1,3,2,1,0,2,3,34
11,3,0,2,0,2,2,3,3,2,2,0,0,2,2,0,3,0,1,3,0,3,33
12,2,3,3,1,3,0,1,2,1,1,1,1,3,0,1,2,0,3,1,0,2,31
13,3,1,0,3,2,3,2,0,2,1,2,1,0,2,1,3,1,0,0,1,0,28
14,3,3,3,3,1,1,3,2,3,2,3,1,1,2,3,0,3,3,2,3,2,47
15,3,2,1,3,2,0,1,1,3,2,1,0,3,3,2,1,2,0,0,1,2,33
16,1,0,1,2,3,2,3,1,0,1,2,1,2,0,1,3,0,1,1,0,2,27
17,3,0,0,1,2,1,2,2,2,3,3,3,0,2,3,1,3,1,1,3,3,39
18,2,0,2,3,3,1,3,0,0,2,0,1,1,2,3,3,2,1,1,3,0,33
19,0,3,0,2,0,1,3,3,1,2,0,1,3,0,1,0,1,1,3,3,2,30
20,2,3,2,0,0,2,0,2,1,1,1,2,1,2,2,3,2,0,2,2,3,33
21,3,2,2,3,1,1,2,2,1,1,3,2,3,2,0,2,0,0,3,3,3,39
22,1,2,1,2,2,2,1,0,0,3,3,3,1,2,3,3,1,1,1,3,2,37
23,2,1,2,0,2,1,1,0,3,0,2,2,0,2,2,0,0,1,1,3,1,26
24,2,2,3,2,0,3,1,2,0,1,0,3,3,2,0,0,2,1,0,3,0,30
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,1,2,13
26,1,1,0,3,2,0,0,3,2,3,0,3,3,3,0,1,0,2,3,0,3,33
27,2,0,1,0,2,2,0,1,1,1,1,2,2,1,1,1,1,2,1,2,1,25
28,1,1,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,2,2,1,1,16
29,2,2,0,2,2,0,2,2,1,2,0,0,1,2,1,0,2,0,0,2,2,25
30,1,0,1,2,2,2,2,1,2,0,2,1,1,2,2,2,1,1,1,1,2,29
31,0,0,0,1,2,0,0,0,0,2,0,1,0,2,1,0,2,2,1,1,1,16
32,0,0,0,1,1,1,2,1,1,1,2,1,2,1,0,1,1,0,0,2,1,19
33,2,1,1,1,1,2,0,2,1,1,0,0,2,2,0,0,1,0,0,0,2,19
34,2,1,2,0,0,2,0,1,0,2,1,1,1,1,2,2,2,1,2,0,0,23
35,0,2,2,1,1,0,1,1,1,2,0,1,0,0,1,2,1,0,2,1,0,19
36,1,0,0,2,2,0,2,0,2,2,1,1,2,0,1,0,0,0,1,1,0,18
37,0,1,1,3,0,1,3,0,2,2,1,3,3,1,2,3,1,1,3,3,0,34
38,2,3,0,1,3,3,0,2,1,2,0,2,2,0,0,3,1,2,0,0,1,28
39,2,0,2,2,3,0,1,2,2,3,0,3,0,3,2,3,1,3,2,0,3,37
40,0,0,1,0,2,2,3,1,1,2,1,0,0,3,2,0,1,1,3,1,1,25
41,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,10
42,3,1,2,3,1,3,2,3,0,3,1,2,3,0,1,0,3,1,1,1,3,37
43,1,3,2,0,3,1,3,0,3,1,0,3,0,2,0,0,2,1,3,0,0,28
44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,1,9
45,0,0,0,1,0,1,0,3,1,3,0,2,0,3,2,3,2,2,0,3,0,26
46,3,3,2,3,3,3,1,0,0,1,1,1,3,0,1,2,3,1,3,0,3,37
47,2,3,3,2,2,2,3,0,0,1,2,0,0,0,2,3,3,2,2,2,2,36
48,0,2,3,0,1,0,3,2,1,1,2,1,3,1,2,2,2,2,1,1,2,32
49,2,3,0,0,2,1,0,1,2,0,0,3,1,3,1,3,0,2,1,1,3,29
50,3,3,1,3,2,0,2,3,2,3,0,1,0,1,3,0,0,1,1,2,1,32
51,2,3,2,3,1,1,1,0,1,2,3,1,2,1,3,3,2,3,1,1,2,38
52,0,0,2,0,2,0,0,2,0,0,1,0,3,2,2,1,2,2,3,2,3,27
53,1,3,2,2,0,1,0,3,3,3,2,2,0,1,0,3,1,1,3,3,2,36
54,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,2,1,1,12
55,3,2,2,1,3,3,1,2,1,1,0,0,3,3,0,3,3,3,2,2,1,39
56,3,2,0,2,0,1,2,1,3,2,0,0,2,3,2,3,2,1,3,0,0,32
57,1,0,0,3,1,2,2,2,1,2,2,0,2,2,1,2,3,2,0,1,1,30
58,0,0,2,0,2,0,3,3,2,0,1,0,3,3,0,0,1,0,2,0,3,25
59,3,0,1,0,0,0,3,1,0,1,2,1,3,0,2,0,1,0,2,0,1,21
60,2,3,2,3,1,3,1,1,2,0,0,1,1,2,0,0,2,3,2,0,0,29
61,1,0,0,2,1,3,0,0,1,0,3,1,2,1,1,3,0,0,1,1,3,24
62,2,0,1,1,3,1,1,0,3,1,3,3,1,3,0,2,2,3,3,2,1,36
63,2,2,1,0,3,1,3,0,0,2,1,1,1,0,3,2,3,1,0,0,3,29
64,3,3,0,0,0,1,2,0,1,1,1,0,1,1,2,1,1,1,0,1,3,23
65,0,2,0,2,1,1,3,3,3,3,3,1,0,0,0,3,0,3,2,1,1,32
66,3,1,2,2,3,3,2,1,0,3,2,2,2,2,1,2,0,0,3,1,1,36
67,3,3,2,0,0,3,0,2,2,3,1,1,0,0,0,2,0,3,2,2,2,31
68,3,1,1,1,2,2,2,1,2,2,2,2,2,2,0,1,1,0,1,2,0,30
69,1,3,1,2,0,3,0,0,0,3,2,0,1,3,2,1,0,0,2,0,2,26
70,0,2,0,1,3,1,1,3,2,3,1,2,0,3,3,3,3,2,0,0,3,36
71,1,1,3,1,1,0,2,3,2,3,1,1,3,0,2,0,3,2,2,2,3,36
72,0,0,0,1,1,3,3,3,1,0,0,2,3,1,1,2,1,1,3,2,1,29
73,0,1,3,3,3,1,3,1,3,1,3,2,1,1,2,3,0,1,2,3,0,37
74,2,1,3,1,2,0,1,3,1,1,1,2,2,1,3,2,2,2,2,3,1,36
75,0,1,1,2,0,3,0,0,3,1,2,3,0,1,1,3,2,3,2,0,1,29
76,0,0,3,0,1,3,2,1,2,2,1,2,1,1,3,2,2,0,0,0,2,28
77,0,0,3,0,3,2,2,1,3,1,1,3,2,0,2,2,2,2,1,0,3,33
78,0,1,2,2,1,3,3,2,3,1,3,0,2,1,2,2,0,1,2,3,3,37
79,3,2,0,3,1,1,0,2,2,1,2,2,1,0,1,0,0,2,3,1,2,29
80,2,2,2,2,1,1,1,2,0,0,3,2,3,1,0,0,2,2,2,3,2,33
81,1,3,3,0,2,1,0,1,0,2,1,1,3,0,2,3,1,3,1,3,3,34
82,2,0,1,1,1,0,0,0,1,2,2,3,0,3,0,1,0,0,1,1,3,22
83,1,3,2,2,3,1,1,1,2,0,2,3,2,3,1,3,0,0,3,0,0,33
84,3,2,3,0,3,2,0,0,3,1,3,1,1,3,2,0,1,3,0,1,2,34
85,2,1,2,1,3,1,1,3,1,1,0,0,3,0,3,3,3,3,1,1,1,34
86,0,0,0,1,1,0,0,1,2,1,3,1,2,2,1,0,1,1,3,2,2,24
87,1,0,0,1,1,2,2,3,2,1,3,3,2,1,3,1,2,3,3,1,0,35
88,0,2,2,1,3,0,2,1,2,2,0,0,3,3,3,0,0,1,1,1,3,30
89,0,2,2,0,1,3,3,2,0,2,1,2,0,3,1,1,1,0,0,1,1,26
90,1,3,3,1,2,2,1,0,1,0,2,2,2,3,3,3,1,3,0,0,0,33
91,0,0,3,0,2,1,0,2,2,0,3,2,3,2,1,1,1,2,0,3,0,28
92,1,2,2,0,1,3,1,0,2,2,2,1,0,2,0,0,0,2,3,1,1,26
93,0,3,2,3,2,3,2,3,3,0,2,1,3,3,2,0,2,3,1,3,3,44
94,3,1,0,1,2,1,1,1,3,2,3,3,1,2,3,2,3,1,0,2,3,38
95,1,0,3,3,3,3,0,2,1,1,2,2,3,0,1,3,1,1,3,0,2,35
96,1,0,1,2,0,0,3,1,1,1,0,2,0,1,0,3,0,2,0,1,3,22
97,2,0,1,2,0,2,1,3,2,0,1,3,0,2,0,1,1,1,1,3,3,29
98,2,3,2,2,3,1,0,0,2,2,3,3,1,2,2,1,3,3,0,2,2,39
99,2,3,0,2,1,0,0,2,1,2,3,1,1,2,3,2,2,0,3,3,0,33
100,0,1,3,1,1,0,0,2,1,0,1,0,2,1,3,2,3,1,3,1,0,26
101,3,0,3,1,3,2,1,2,1,1,0,1,1,2,3,3,3,1,3,3,2,39
